baseline,mse,mae,sd_error,r2,pearson_r
MeanEstimator,12.700756897574607,3.103901931268576,3.216928603894393,-0.6297919637731195,0.26107238764107055
SVM,14.68723540727602,2.7996196045869426,3.281633394358446,-0.5007674264580865,0.2699242128040644
GaussianNB,18.86446890927154,3.7429907077275497,3.8806012234432536,-2.0684469613761416,0.0011151851752466448
MLP,13.9244133838669,3.05526025266639,3.36361185557884,-1.027457117121845,0.2614295339060782
LightGBM,13.067593409681825,3.037313151960325,3.2699852553946704,-0.7352054185969509,0.2721457214067609
