model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.6665414841385914,0.0,0.0,0.0,0.4
Mean,emotion_emotion-tenderness,0.6665414841385914,0.0,0.0,0.0,0.4
SVM,aggregated,0.6123785629249172,0.3355540149505667,0.175804823826586,0.11572383884880844,0.513459349108863
SVM,emotion_emotion-tenderness,0.6123785629249172,0.3355540149505667,0.175804823826586,0.11572383884880844,0.513459349108863
LightGBM,aggregated,0.6058457460188534,0.23464556119309882,0.14614995211394163,0.09929570803612794,0.5003531700505554
LightGBM,emotion_emotion-tenderness,0.6058457460188534,0.23464556119309882,0.14614995211394163,0.09929570803612794,0.5003531700505554
MLP,aggregated,0.5893218818287083,0.36141326454147304,0.3413723667331262,0.21063897645195,0.5154247238324625
MLP,emotion_emotion-tenderness,0.5893218818287083,0.36141326454147304,0.3413723667331262,0.21063897645195,0.5154247238324625
GNN,aggregated,0.5585544209594662,0.5585544209594662,1.0,0.6758175973997659,0.5032864807006237
GNN,emotion_emotion-tenderness,0.5585544209594662,0.5585544209594662,1.0,0.6758175973997659,0.5032864807006237
