epoch,train_loss,val_loss
1.0,0.665788371939848,0.6248053908348083
2.0,0.624397438240185,0.6000028252601624
3.0,0.5971224398684845,0.5912026166915894
4.0,0.5739813726114633,0.5726961493492126
5.0,0.5489572672688497,0.5756353139877319
6.0,0.5417418271627001,0.581193208694458
7.0,0.5036654745199536,0.5385574102401733
8.0,0.48025872902288547,0.5911139845848083
9.0,0.4604941713592691,0.5713607668876648
10.0,0.4342239036858395,0.592802882194519
11.0,0.4310947658093904,0.5361403822898865
12.0,0.39546892863802435,0.56129390001297
13.0,0.3920877373013796,0.5435711741447449
14.0,0.37750214440673013,0.5771306753158569
15.0,0.3587322465231909,0.5440797209739685
16.0,0.3296760181209893,0.6335063576698303
17.0,0.3312765214784163,0.5660672783851624
18.0,0.3169393736648426,0.5562437176704407
19.0,0.3279410333767967,0.5409800410270691
20.0,0.29549845911058426,0.5742060542106628
21.0,0.27086015413340625,0.5971449017524719
22.0,0.2501871100108832,0.6672115325927734
23.0,0.2483030146061643,0.6472831964492798
24.0,0.2405578099005773,0.654125988483429
25.0,0.23686138607099355,0.63279789686203
26.0,0.24414724537752153,0.6259094476699829
