epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,is_best_epoch,best_epoch,best_val_loss
1,1.1367036875556498,1.1163876354694366,0.3295880149812734,0.17229564366128244,1.837,0,35,0.9258744418621063
2,1.0256099946358626,1.0561214685440063,0.32397003745318353,0.17010816125860373,1.814,0,35,0.9258744418621063
3,1.0090987471973194,1.0571000576019287,0.3161587399312503,0.17319719963179717,1.83,0,35,0.9258744418621063
4,1.0044872620526482,1.0482227206230164,0.33506490174952547,0.20036100190391415,1.813,0,35,0.9258744418621063
5,0.9926174493396983,1.053148627281189,0.33235709928799045,0.211130021769246,1.838,0,35,0.9258744418621063
6,0.9927990436553955,1.0388737618923187,0.3409094795888701,0.2694062893872264,1.823,0,35,0.9258744418621063
7,0.9848615947891685,1.0457760393619537,0.3411546069695985,0.24851082255042314,1.855,0,35,0.9258744418621063
8,0.9784814610200769,1.0485248267650604,0.33614944789332973,0.25754162446470136,1.821,0,35,0.9258744418621063
9,0.9717650378451628,1.0260197818279266,0.3714477907182232,0.3122544514447702,1.824,0,35,0.9258744418621063
10,0.9660734008340275,1.0422899723052979,0.34544718645072653,0.291377654725985,1.819,0,35,0.9258744418621063
11,0.9643730766632977,1.0132204294204712,0.3804106168659039,0.3468088084693532,1.82,0,35,0.9258744418621063
12,0.9600001433316399,1.012187898159027,0.3717926792422714,0.33569606784646916,1.83,0,35,0.9258744418621063
13,0.9532533673679128,1.00101438164711,0.39689258290151014,0.3723739777734017,1.83,0,35,0.9258744418621063
14,0.949682470630197,1.0004136264324188,0.40633141221874486,0.3845827465665708,1.821,0,35,0.9258744418621063
15,0.9456460160367629,0.9978660047054291,0.40806298063493696,0.3914719227285439,1.847,0,35,0.9258744418621063
16,0.9432348503785974,1.0064172148704529,0.39843032966782393,0.3768357596803455,1.881,0,35,0.9258744418621063
17,0.9394429220872766,0.9588347971439362,0.40610196158910955,0.40013290942026,2.04,0,35,0.9258744418621063
18,0.932676704490886,0.9833169281482697,0.4022141273180215,0.38916530669107985,1.858,0,35,0.9258744418621063
